rank,team,avg_win_prob,avg_draw_prob,fifa_rank,elo,wc_titles,last_match_date,pool_size
1,Argentina,0.627734696294399,0.19385808088043902,1.0,1965.4993401962342,3,2026-03-31,48
2,France,0.6150484443344968,0.2078568476470227,2.0,1922.1474407614044,2,2026-03-29,48
3,Spain,0.5922906181596695,0.21665574095033585,3.0,1958.0822693429072,1,2026-03-31,48
4,Brazil,0.5417511726313449,0.24846599409554868,5.0,1893.1950625251968,5,2026-03-31,48
5,Colombia,0.5079921357175137,0.25679434360341824,9.0,1887.2406833153552,0,2026-03-29,48
6,Belgium,0.4879012610367004,0.287755687740889,6.0,1806.9196805601482,0,2026-03-31,48
7,England,0.48073795406108205,0.31204068026644116,4.0,1857.7645130592246,1,2026-03-31,48
8,Netherlands,0.4697205238836877,0.2702661992863138,7.0,1829.0386630343908,0,2026-03-31,48
9,Germany,0.45918509720804845,0.29150336536955324,13.0,1821.9892256075425,3,2026-03-30,48
10,Croatia,0.4547521874625632,0.27050139897681297,12.0,1825.6913137433519,0,2026-03-31,48
11,Portugal,0.448854627919958,0.2693844728488871,8.0,1848.0387502294843,0,2026-03-31,48
12,Norway,0.43239942113769814,0.26368637367131864,47.0,1707.5145887864844,1,2026-03-31,48
13,Ecuador,0.4321622632126859,0.18781079938437076,27.0,1816.5449583239886,0,2026-03-31,48
14,Uruguay,0.42932662827537416,0.2766759195860396,11.0,1831.8251645244459,2,2026-03-31,48
15,Italy,0.41961016965673326,0.28366010889728016,10.0,1818.8553964820649,4,2026-03-31,48
16,Japan,0.4138335422315496,0.2720853884486442,16.0,1811.5639379703468,1,2026-03-31,48
17,Switzerland,0.404710184227913,0.28200814587638734,15.0,1766.5497277723073,0,2026-03-31,48
18,Senegal,0.3988443914246052,0.27730933529265384,21.0,1814.8945323159803,0,2026-03-31,48
19,Algeria,0.3961089740091182,0.28919790970518233,41.0,1768.3269916254962,0,2026-03-31,48
20,Denmark,0.392341488694891,0.27218692932040134,20.0,1764.2507545031217,0,2026-03-31,48
21,Mexico,0.3812284327726415,0.23567016018514939,17.0,1763.3396673603029,0,2026-03-31,48
22,Russia,0.3671755463360472,0.2668237219307017,34.0,1721.7412286245988,0,2026-03-31,48
23,Morocco,0.36141867364974734,0.3129672311404918,14.0,1807.8458030209895,0,2026-03-31,48
24,Iran,0.35698494743159476,0.2745530415881187,19.0,1774.019257904603,0,2026-03-31,48
25,Canada,0.3503625342186461,0.2707786147106201,38.0,1745.216426047315,0,2026-03-31,48
26,Austria,0.3466324319547795,0.27207318051381313,22.0,1717.4206681129838,0,2026-03-31,48
27,Ivory Coast,0.33099550682496515,0.27811044296051596,33.0,1700.7409528832216,0,2026-03-31,48
28,Peru,0.32751978569208307,0.29774334028046184,43.0,1676.9575797071343,0,2026-03-31,48
29,South Korea,0.3237292785593804,0.27521835854078863,23.0,1781.30165774331,0,2026-03-31,48
30,Australia,0.3215199461642732,0.2699042018899258,25.0,1761.737574830216,0,2026-03-31,48
31,Turkey,0.320765966034316,0.2607553059116323,26.0,1745.3040187627332,0,2026-03-31,48
32,Panama,0.3134534854758927,0.24671301546883076,37.0,1699.9324706741913,0,2026-03-31,48
33,Nigeria,0.312252167493422,0.2698737155408301,39.0,1723.7482545960281,0,2026-03-31,48
34,Egypt,0.30087528575925115,0.28313818518468675,31.0,1719.5138563112946,0,2026-03-31,48
35,Tunisia,0.29975244371180837,0.2703196461054873,36.0,1706.3437714263653,0,2026-03-31,48
36,Czech Republic,0.29119490324816805,0.27866283875513587,46.0,1667.9072463776529,0,2026-03-31,48
37,United States,0.286191547091337,0.280911515367792,18.0,1703.0010870254973,4,2026-03-31,48
38,Serbia,0.2850367070988138,0.27264784038700957,35.0,1706.7037910246622,0,2026-03-31,48
39,Greece,0.28451752654732543,0.2733738897170158,48.0,1658.7735870493607,0,2026-03-31,48
40,Venezuela,0.27206370963695203,0.26816227310832513,40.0,1700.2680648704375,0,2026-03-30,48
41,Sweden,0.25926407093697407,0.26402952141584235,28.0,1673.6755353389822,0,2026-03-31,48
42,Poland,0.25653421272464255,0.2570001412420831,30.0,1682.5332331997402,0,2026-03-31,48
43,Hungary,0.24766286304022403,0.2759661947159057,32.0,1649.5421242389712,0,2026-03-31,48
44,Wales,0.243490263898956,0.25295904920773304,29.0,1639.1222753673017,0,2026-03-31,48
45,Ukraine,0.23861045968976427,0.21778153857969224,24.0,1706.044398830521,0,2026-03-31,48
46,Romania,0.2037443183362484,0.2545904506869773,45.0,1590.135938747553,0,2026-03-31,48
47,Slovakia,0.20143400227769892,0.24110415062688767,42.0,1604.146921242527,0,2026-03-31,48
48,Qatar,0.16899013067496585,0.23105086774585096,44.0,1574.250334600126,0,2025-12-07,48
