raw_name,canonical_name
USA,United States
USMNT,United States
United States of America,United States
Korea Republic,South Korea
Korea DPR,North Korea
Republic of Korea,South Korea
Czechia,Czech Republic
Côte d'Ivoire,Ivory Coast
Cote d'Ivoire,Ivory Coast
IR Iran,Iran
IRI,Iran
Bosnia & Herzegovina,Bosnia and Herzegovina
Bosnia-Herzegovina,Bosnia and Herzegovina
Trinidad & Tobago,Trinidad and Tobago
China PR,China
Chinese Taipei,Taiwan
Cabo Verde,Cape Verde
Congo DR,DR Congo
Congo-Kinshasa,DR Congo
Democratic Republic of Congo,DR Congo
Congo,Republic of Congo
Congo-Brazzaville,Republic of Congo
Türkiye,Turkey
Turkiye,Turkey
Kyrgyz Republic,Kyrgyzstan
Eswatini,Swaziland
North Macedonia,Macedonia
FYR Macedonia,Macedonia
Republic of Ireland,Ireland
Northern Ireland,Northern Ireland
Scotland,Scotland
Wales,Wales
England,England
Holland,Netherlands
Russia,Russia
USSR,Soviet Union
Soviet Union,Soviet Union
West Germany,Germany
East Germany,Germany
FR Yugoslavia,Serbia
Serbia and Montenegro,Serbia
Czechoslovakia,Czech Republic
Zaire,DR Congo
Burma,Myanmar
Swaziland,Eswatini
